#{"t_start": 1767579537.9389312, "env_id": "highway-v0"}
r,l,t
8.982131,10,5.986026
8.134656,11,11.187331
30.546317,40,30.155618
32.466513,40,48.898152
0.999106,2,49.848176
27.555556,40,68.923304
8.114749,12,74.627844
2.0,3,76.081918
26.735497,40,94.767771
1.012718,2,95.75002
31.431809,40,114.628463
6.713025,8,118.49713
6.338856,8,122.286987
26.84966,40,141.135365
6.886955,8,144.896345
1.333333,2,145.836361
6.813807,8,149.623442
1.986755,3,151.05133
27.62028,40,169.937667
2.055635,3,171.343265
1.866446,3,172.785136
29.891671,40,191.758745
30.400271,40,210.455459
4.081786,6,213.357271
33.463683,40,232.079703
26.194866,35,248.574024
2.833175,4,250.505724
14.154954,18,258.966425
30.811596,40,277.607872
28.123873,40,296.353328
10.864153,14,302.94899
29.387927,40,321.6756
6.573837,8,325.453695
9.744114,11,330.710856
10.317081,12,336.396123
27.708349,40,355.25958
5.656432,7,358.537914
6.714196,8,362.358075
31.509878,40,381.041862
7.684284,9,385.308946
28.430187,40,404.023604
12.173824,14,410.529127
3.551619,5,412.874873
13.578177,15,419.929027
18.584604,23,430.700255
16.85376,19,439.650803
16.00148,18,448.106404
11.955806,16,455.689997
3.066667,4,457.550244
31.942583,40,476.399037
5.772524,7,479.753764
29.504167,40,498.508369
27.218867,40,517.477095
8.683699,10,522.240367
5.425459,7,525.570028
28.517668,40,544.271561
30.48824,38,562.176069
27.686196,40,580.955831
19.435893,24,592.263804
8.740543,10,596.938993
30.242449,40,615.686746
10.952687,13,621.767874
1.829617,3,623.193078
4.066667,5,625.588744
8.228565,10,630.281777
26.666667,40,649.043305
10.62127,12,654.723098
10.300208,12,660.550802
12.355909,14,667.203206
31.437591,38,685.015444
28.18846,40,703.695332
32.94203,40,722.547479
27.555556,40,741.265238
11.888271,15,748.352036
4.477653,6,751.161577
34.009986,40,770.317761
7.069414,10,775.043286
13.498808,17,783.023315
29.773615,40,801.791672
28.573621,40,820.535041
29.087733,40,839.405472
2.874903,4,841.320588
30.099855,40,860.018956
9.422791,11,865.184405
20.430061,24,876.569914
27.98598,40,895.31693
8.119045,11,900.486466
33.75898,40,919.173649
6.017523,7,922.520987
11.090621,14,929.130884
23.944156,29,942.758099
26.678919,40,961.702036
6.498763,8,965.432729
27.786949,40,990.545673
4.698938,6,993.350381
28.635034,40,1012.179374
1.288889,2,1013.132801
9.755878,13,1019.232043
9.158848,12,1024.843513
32.722788,40,1043.536151
5.771764,8,1047.312636
2.557375,4,1049.225237
9.284378,13,1055.277039
27.607844,40,1073.982077
16.766044,22,1084.385252
33.34877,40,1102.867567
30.65301,40,1121.548382
20.784249,23,1132.460097
28.717524,40,1151.268005
29.841792,40,1170.247212
29.292471,40,1189.038264
31.19503,40,1208.107974
12.505843,15,1215.276459
30.252712,40,1234.014528
9.677123,12,1239.66816
12.067522,15,1246.817992
27.162425,40,1265.733979
32.114572,40,1284.580329
13.725288,16,1292.142596
11.230118,13,1298.256733
13.538356,17,1306.356977
31.231868,40,1325.194776
29.072284,40,1343.900942
27.765187,40,1362.674444
28.913088,40,1381.556529
5.156575,7,1384.894285
34.936158,40,1403.683434
29.15696,40,1422.594136
12.498008,15,1429.698901
25.195799,30,1443.863213
27.832636,40,1462.594761
32.014145,40,1481.322763
16.812364,21,1491.242977
30.185937,40,1510.011732
28.725434,40,1528.682717
9.735295,13,1534.787154
14.526059,18,1543.186401
13.198362,16,1550.719877
