#{"t_start": 1768207755.4770799, "env_id": "highway-v0"}
r,l,t
28.816261,40,19.047921
23.742207,26,31.476107
5.820775,7,34.85167
31.867184,40,54.045064
5.101716,7,57.432091
12.058105,14,64.026639
15.957282,18,72.544645
13.127971,17,80.573785
18.490494,21,90.692635
12.88882,16,98.28251
28.992727,40,117.312176
29.83881,40,136.126634
28.528298,40,155.120118
31.173562,40,174.206861
23.125908,27,187.116516
19.383033,23,198.08584
3.955556,5,200.481837
5.951737,8,204.367979
3.2917,5,206.751944
5.979977,8,210.543246
5.254052,7,213.924653
5.066667,6,216.755931
29.68267,40,235.820199
29.487445,40,254.864267
12.108518,14,261.684731
30.617224,40,280.63784
28.459578,40,299.543618
15.226495,17,307.824326
27.780979,40,326.681036
2.067247,3,328.098588
30.439302,40,347.331639
29.413425,40,366.419843
20.253301,26,378.828848
7.357087,10,383.606698
29.925484,40,402.526856
29.853021,40,421.604218
8.73053,10,426.30163
11.411176,14,432.904726
7.866667,10,437.586262
4.165176,5,440.000596
19.140641,20,449.43081
27.66937,40,468.396561
10.136472,11,473.594141
25.339288,27,486.420514
27.909281,40,505.273914
4.935976,6,508.140713
27.52018,40,527.160848
10.502974,12,532.897197
3.333333,4,534.790968
14.770109,19,543.863683
5.223064,7,547.16572
8.733383,12,552.926948
7.850236,9,557.189213
1.160189,2,558.147667
30.240559,40,577.075807
28.941045,40,596.156425
32.134892,40,615.232249
18.645055,40,634.348909
27.464253,40,653.307772
29.419122,40,672.292621
1.852836,3,673.689384
29.287423,40,692.829842
27.796705,40,711.897676
30.904375,40,730.856336
26.729879,40,749.864501
31.512439,40,768.774102
9.88427,14,775.48762
6.06394,8,779.30075
10.573521,13,785.469839
31.149948,40,804.499379
30.972206,40,823.440109
7.25902,8,827.274504
5.827548,7,830.647872
5.915944,8,834.457208
6.710126,9,838.841894
5.707195,7,842.143499
5.500251,8,845.87828
4.795434,6,848.699869
7.447127,9,852.954825
4.651022,6,855.811596
27.426412,36,872.919203
18.837145,23,883.829328
30.766608,40,902.831244
12.613627,16,910.48695
2.844444,4,912.410872
16.924216,19,921.504288
3.820824,5,923.876028
9.763824,13,930.087825
27.902388,35,946.785327
29.795486,40,965.827272
9.74078,11,971.032302
4.863124,6,973.903602
32.029284,40,999.755102
30.540428,40,1018.674117
3.346253,5,1021.053474
29.755084,40,1040.061075
27.129273,40,1059.112433
7.432574,11,1064.359811
19.200546,23,1075.295317
30.428324,40,1094.387242
29.599369,40,1113.079136
6.657857,8,1116.86912
30.484387,40,1135.811872
21.447031,25,1147.659944
16.883894,22,1158.110825
6.954322,9,1162.338215
4.893778,7,1165.643221
30.740489,40,1184.653879
32.103704,40,1203.841999
28.950511,40,1223.044557
30.779941,40,1241.920319
27.173938,40,1260.854361
6.829145,10,1265.660437
30.878687,40,1284.729128
1.771203,3,1286.16218
30.60913,40,1305.102056
29.907317,40,1324.24951
9.0071,10,1329.025604
27.182185,40,1347.956812
9.391225,11,1353.097882
31.883993,40,1371.976019
26.666667,40,1390.982841
29.764877,40,1409.897068
9.436911,14,1416.518236
16.936315,20,1426.047525
28.091577,40,1445.235398
30.676038,40,1464.461423
28.01208,40,1483.467841
31.227794,40,1502.515852
4.940174,6,1505.359921
15.115109,18,1513.978281
30.268634,40,1533.037753
1.816263,3,1534.466759
27.639933,40,1553.575388
32.495804,40,1572.612875
19.374784,26,1585.096676
11.824669,14,1591.708357
3.485358,5,1594.11375
28.615381,40,1613.036627
10.46702,12,1618.83091
33.746908,40,1637.838145
2.032244,3,1639.257936
16.618732,20,1648.737599
12.502081,14,1655.389308
30.356869,40,1674.46856
2.94397,4,1676.376511
18.748048,24,1687.712484
21.989628,28,1700.923692
35.643431,40,1719.86583
20.172639,22,1730.128273
3.27542,4,1732.064011
30.638329,40,1751.267556
33.220334,40,1770.242428
30.47801,40,1789.072451
29.444444,40,1808.114342
27.700907,40,1827.028726
14.705377,20,1836.403016
9.624817,11,1841.6114
28.016966,40,1860.554354
29.630583,40,1879.550148
15.930454,22,1889.94291
31.4438,40,1909.005582
1.330884,2,1909.961504
32.502947,40,1928.863532
28.820202,40,1947.99175
27.389843,40,1973.945071
27.726615,40,1993.104845
30.299181,40,2012.161035
27.975306,40,2031.180505
29.845706,40,2050.343317
27.881773,40,2069.546047
29.500419,40,2088.73927
30.673249,40,2107.575279
30.101296,40,2126.508908
29.16259,40,2145.486636
28.988662,40,2164.374257
28.86282,40,2183.310066
31.762061,40,2202.324479
32.300624,40,2221.580075
27.585845,40,2240.560676
30.48911,40,2259.857446
2.400248,4,2261.774336
30.645501,40,2280.741018
33.339525,40,2299.671079
30.695735,40,2318.669062
29.968092,40,2337.790471
32.384376,40,2356.810943
31.502229,40,2375.799044
26.911089,40,2394.614044
31.798551,40,2413.573527
10.386661,12,2419.274691
30.362992,40,2438.20757
28.209547,40,2457.107341
32.745172,40,2476.015921
28.636924,40,2494.908063
29.334664,40,2513.993145
1.195048,2,2514.934025
30.834773,40,2533.912148
31.417615,39,2552.363661
27.783301,40,2571.197356
29.626185,40,2590.104427
2.842402,4,2592.02022
29.996983,40,2610.916898
27.834475,40,2629.895742
29.749156,40,2648.931524
31.024093,38,2666.92813
29.377074,40,2685.808142
31.131275,40,2704.558701
29.001222,40,2723.643456
30.082904,40,2742.536053
29.468774,40,2761.623319
6.78255,8,2765.421941
26.680428,35,2782.118709
29.709579,40,2801.195927
9.190697,11,2806.487888
29.615468,36,2823.658717
28.891942,40,2842.625938
29.948827,40,2861.673424
29.82374,40,2880.657048
29.658155,40,2899.774942
28.547676,40,2918.584404
4.749698,6,2921.443419
29.223311,40,2947.434208
17.635292,21,2957.419668
29.024396,40,2976.419634
6.890956,9,2980.703579
21.14285,26,2993.116452
31.897352,40,3012.244083
29.362894,40,3031.38681
4.363891,6,3034.23472
9.985223,11,3039.409559
2.010969,3,3040.81293
30.393838,40,3059.991106
30.184453,40,3079.037792
31.686918,40,3098.030443
32.115127,40,3117.081843
30.249236,40,3136.13124
25.685817,32,3151.414912
33.519853,40,3170.31864
29.080206,40,3189.316732
30.588449,40,3208.194044
29.129953,40,3227.220437
31.180797,40,3246.237262
31.636101,40,3265.11948
30.071927,40,3284.176615
30.500827,40,3303.176533
21.230048,25,3314.983418
28.063796,40,3333.888362
29.225501,40,3353.000768
28.182407,40,3372.017003
27.329461,40,3390.785065
29.653124,40,3409.748244
29.986325,40,3428.724756
30.131031,40,3447.716408
28.554746,40,3466.711928
29.017064,40,3486.033617
31.039067,40,3505.016352
27.449111,40,3523.95393
29.417882,40,3542.893955
27.189615,40,3561.94074
30.729683,40,3580.897284
10.41071,13,3587.105115
30.10952,40,3605.875258
30.411862,40,3624.816761
29.497691,40,3643.815732
32.108689,40,3662.862327
30.300986,40,3681.819535
30.370251,40,3700.809459
30.37531,40,3719.932468
27.126138,40,3739.05822
28.14505,40,3758.134255
29.242975,40,3777.043256
29.690101,40,3796.135725
30.120533,40,3815.189292
1.144123,2,3816.142139
2.873399,4,3818.038933
26.863779,40,3837.007735
30.677077,40,3856.220116
32.746913,40,3875.228323
29.614141,40,3894.081928
6.285035,8,3897.873327
3.616809,5,3900.317564
28.41313,40,3926.383467
29.165058,40,3945.474302
30.410581,40,3964.645011
30.886516,40,3983.767697
29.104179,40,4002.64636
30.950678,40,4021.612097
1.987877,3,4023.012995
29.005441,40,4042.006322
29.553065,40,4061.047853
29.901339,40,4079.874759
30.808068,40,4098.847299
28.632776,40,4117.965391
31.434361,40,4136.991684
28.420668,40,4155.808864
29.72071,40,4174.814333
2.650146,4,4176.673408
30.399656,40,4195.57301
29.312874,40,4214.356259
30.647737,40,4233.176382
30.031921,40,4252.185347
28.99104,40,4271.19261
30.191752,40,4290.178465
27.78113,40,4309.227574
30.315258,40,4328.131588
27.582517,40,4347.098889
29.778387,40,4366.119574
29.775677,40,4385.212957
30.15621,40,4404.169145
31.627712,40,4422.935455
29.041075,40,4441.933487
30.214208,40,4460.943161
30.293718,40,4479.992419
29.407839,40,4498.977381
29.540137,40,4517.90591
28.527089,40,4536.802093
33.329197,40,4555.843955
28.840666,40,4574.882441
29.542836,40,4593.763046
29.174076,40,4612.559
31.858387,40,4631.475486
28.846299,40,4650.455918
31.896894,40,4669.412911
30.47278,40,4688.321625
29.141587,40,4707.285446
31.155652,40,4726.323913
32.156165,40,4745.147495
32.048357,40,4763.844137
28.936089,40,4782.953665
31.083743,40,4801.867928
30.772446,40,4820.959652
31.295734,40,4839.922264
30.21263,40,4858.836785
29.691931,40,4877.886787
27.610471,40,4903.95286
28.460315,40,4922.750778
30.411796,40,4941.747353
31.576113,40,4960.820707
27.765925,40,4979.81524
30.733216,40,4998.933472
31.721414,40,5018.008488
30.345371,40,5037.05381
29.903552,40,5055.979896
30.426273,40,5074.979087
31.219741,40,5093.901163
29.782462,40,5112.812751
29.672063,40,5131.626448
27.453193,40,5150.434134
31.033833,40,5169.466321
29.359501,40,5188.752768
30.392422,40,5207.644199
28.786843,40,5226.704201
32.104835,40,5245.646161
31.733142,40,5264.645665
29.854491,40,5283.76011
31.76636,40,5302.769651
29.152999,40,5321.813833
29.706056,40,5340.891202
30.474295,40,5359.827112
29.986493,40,5378.718532
31.286146,40,5397.554535
29.361003,40,5416.545102
30.765268,40,5435.502247
31.018121,40,5454.354895
31.92063,40,5473.347094
30.40102,40,5492.229016
29.922309,40,5511.16387
27.618929,40,5530.131194
30.662524,40,5549.052215
29.078453,40,5567.971069
27.636873,40,5586.904516
29.162046,40,5605.819647
27.979317,40,5624.85935
30.135285,40,5643.959281
30.505052,40,5662.810814
30.39932,40,5681.557144
28.57923,40,5700.389699
29.23314,40,5719.458092
29.580251,40,5738.410115
30.481461,40,5757.425069
30.12249,40,5776.479834
29.96692,40,5795.532181
31.13044,40,5814.647444
30.858524,40,5833.715748
30.643443,40,5852.711751
28.694123,40,5878.948616
29.260646,40,5897.746266
29.55782,40,5916.725027
30.665587,40,5935.604297
29.274209,40,5954.912828
29.943636,40,5974.042929
28.062059,40,5993.103122
29.989923,40,6012.009727
28.803872,40,6031.031128
28.466383,40,6049.878767
28.389102,40,6069.005243
30.265716,40,6088.067912
30.464066,40,6107.043124
30.379159,40,6125.989451
30.206431,40,6144.846707
30.612567,40,6163.954444
28.294311,40,6182.960459
28.705754,40,6201.915965
30.561825,40,6221.010168
29.56687,40,6240.013736
31.990302,40,6258.998337
30.610492,40,6277.977344
30.176175,40,6297.074171
32.664799,40,6316.061834
28.204489,40,6334.993989
29.014197,40,6354.016195
29.105641,40,6372.912714
33.078717,40,6391.944309
29.279989,40,6410.860976
30.190646,40,6429.733958
30.093336,40,6448.74238
30.600274,40,6467.703252
29.528095,40,6486.724625
29.245984,40,6506.073668
30.885538,40,6525.145506
29.804144,40,6544.363852
29.589838,40,6563.335323
31.177273,40,6582.403234
29.752753,40,6601.395173
30.965038,40,6620.582902
30.50519,40,6639.477153
29.56343,40,6658.458671
30.314414,40,6677.435876
28.390131,40,6696.443027
28.844948,40,6715.368682
2.54521,4,6717.271046
29.981592,40,6736.232183
29.12351,40,6755.179707
30.436029,40,6774.224021
29.499355,40,6793.133954
29.144516,40,6812.125427
28.328679,40,6831.11765
28.954253,40,6850.119759
30.396791,40,6876.29121
29.233587,40,6895.22312
30.689076,40,6914.286336
31.022119,40,6933.40256
29.779306,40,6952.356767
30.518976,40,6971.400043
29.76499,40,6990.342705
29.504022,40,7009.282467
29.412938,40,7028.42755
28.20038,40,7047.459733
32.050766,40,7066.449188
31.698222,40,7085.373258
30.639942,40,7104.20919
23.069444,31,7119.00678
29.942591,40,7138.084989
31.044121,40,7157.155425
29.315604,40,7176.187386
27.885923,40,7195.264477
29.172696,40,7214.296761
30.283122,40,7233.412186
30.282533,40,7252.323463
29.771079,40,7271.296276
30.058317,40,7290.282052
30.061908,40,7309.198808
30.118501,40,7328.180712
32.359164,40,7347.145477
31.002011,40,7366.228312
30.447465,40,7385.172992
29.779017,40,7404.12586
32.887897,40,7423.085708
28.4214,40,7442.008107
29.780391,40,7461.129356
30.090351,40,7480.064485
28.276756,40,7498.971778
2.033802,3,7500.390822
28.511867,40,7519.386189
30.894715,40,7538.504783
32.26911,40,7557.480808
29.686407,40,7576.460616
32.314144,40,7595.388215
31.766748,40,7614.354096
29.553987,40,7633.395654
29.292338,40,7652.285893
30.113696,40,7671.243472
29.778827,40,7690.392767
28.593507,40,7709.436457
28.226478,40,7728.383765
28.085633,40,7747.303648
28.146673,40,7766.344265
30.540517,40,7785.335869
30.217419,40,7804.438797
29.428747,40,7823.354075
29.061676,40,7849.479746
29.402179,40,7868.378124
27.382299,40,7887.393497
29.155155,40,7906.402946
27.361394,40,7925.369326
29.192474,40,7944.305366
32.522538,40,7963.455703
27.375616,40,7982.461773
30.411181,40,8001.47677
29.959256,40,8020.473686
29.539151,40,8039.49796
31.407902,40,8058.327538
28.437539,40,8077.461681
31.149771,40,8096.509496
31.407388,40,8115.427817
28.599161,40,8134.407743
26.46965,34,8150.457402
33.009273,40,8169.494792
28.938155,40,8188.501837
31.747025,40,8207.372651
29.02052,40,8226.209184
29.61326,40,8245.345888
31.593614,40,8264.412801
29.152382,40,8283.309551
29.436397,40,8302.265813
29.410136,40,8321.343555
31.025893,40,8340.457881
31.382834,40,8359.331097
31.633768,40,8378.448082
29.022985,40,8397.341292
29.511066,40,8416.405946
30.911267,40,8435.175837
30.485855,40,8454.14256
30.227994,40,8473.155746
29.329269,40,8492.138267
29.617156,40,8511.086043
28.43824,40,8529.93769
30.179737,40,8548.78696
2.410139,4,8550.674837
29.429369,40,8569.459844
29.109167,40,8588.369147
28.917525,40,8607.298716
31.033174,40,8626.376724
28.990164,40,8645.377821
29.659654,40,8664.391074
29.317927,40,8683.398171
31.872301,40,8702.591066
28.718147,40,8721.648664
29.716975,40,8740.617861
29.566321,40,8759.605342
29.273518,40,8778.651772
31.245125,40,8797.584441
31.130007,40,8823.871483
30.824345,40,8842.986756
33.337636,40,8861.892664
30.425129,40,8880.981835
29.942397,40,8900.000738
29.958943,40,8919.042655
17.654952,25,8930.985132
29.898283,40,8950.126842
29.115089,40,8969.07883
32.035266,40,8988.058872
28.744257,40,9007.187176
30.416641,40,9026.25257
29.146613,40,9045.279636
28.355507,40,9064.27016
4.985021,7,9067.595636
29.471124,40,9086.514763
32.04584,40,9105.481113
30.39163,40,9124.492231
31.257156,40,9143.542059
31.270521,40,9162.649871
29.471649,40,9181.602759
29.991374,40,9200.646893
30.817394,40,9219.74002
30.071659,40,9238.778162
30.112006,40,9257.787766
29.061431,40,9276.753879
30.382328,40,9295.739747
31.456781,40,9314.656048
29.956083,40,9333.81555
30.992704,40,9352.792907
31.389182,40,9371.816117
31.143735,40,9390.782747
30.412233,40,9409.79702
29.943098,40,9428.860068
29.486139,40,9447.802268
28.701256,40,9466.988675
30.072535,40,9486.189542
30.983351,40,9505.206518
29.103133,40,9524.35196
4.068237,6,9527.228807
28.643938,40,9546.295561
30.431218,40,9565.348745
28.567182,40,9584.292484
29.96479,40,9603.319324
31.751438,40,9622.431088
28.511318,40,9641.351009
31.514011,40,9660.488408
29.117432,40,9679.48218
31.275241,40,9698.687469
31.01449,40,9717.644603
30.579302,40,9736.520796
29.059871,40,9755.446197
28.880766,40,9774.43703
29.108217,40,9800.766467
28.741419,40,9819.846972
31.614778,40,9838.860215
32.509216,40,9857.751463
32.628922,40,9876.662597
30.18536,40,9895.68855
30.985685,40,9914.599484
28.002989,35,9930.956155
29.991152,40,9949.821522
29.195484,40,9968.827857
29.785909,40,9987.746414
29.042484,40,10006.815598
29.67448,40,10025.75353
33.83232,40,10044.825476
29.027219,40,10064.060999
30.29925,40,10083.139994
9.431563,13,10089.253612
3.638006,5,10091.606977
31.213131,40,10110.505828
31.382312,40,10129.499361
29.126792,35,10146.094794
32.222318,40,10165.231064
28.202747,40,10184.307305
28.791345,40,10203.527672
29.11777,40,10222.570145
29.612916,40,10241.599619
29.752803,40,10260.6106
2.506205,4,10262.514315
32.368163,40,10281.640026
30.033846,40,10300.651543
28.735242,40,10319.539027
29.216633,40,10338.668964
30.0799,40,10357.699481
31.727486,40,10376.835975
1.890882,3,10378.261356
29.133639,40,10397.314974
31.73271,40,10416.320803
18.194392,25,10428.235693
3.318423,5,10430.624572
30.640555,40,10449.71538
29.458457,40,10468.681847
29.536879,40,10487.756548
29.98962,40,10506.891755
29.228718,40,10525.84597
32.007186,40,10544.836828
28.765084,40,10563.733295
30.577533,40,10582.681225
28.682507,40,10601.671047
28.109621,40,10620.805207
30.489859,40,10639.6814
29.724232,40,10658.576844
29.641326,40,10677.578225
7.248008,10,10682.300052
30.583804,40,10701.246777
31.313599,40,10720.272902
30.605102,40,10739.316658
28.698832,40,10758.218154
29.981853,40,10784.459574
29.043656,40,10803.497046
30.667465,40,10822.603906
31.473629,40,10841.534681
13.626415,17,10849.626202
30.985706,40,10868.561411
31.78354,40,10887.497504
30.382571,40,10906.633931
28.664301,40,10925.573731
32.136653,40,10944.577833
33.205879,40,10963.446018
30.078915,40,10982.533418
30.711178,40,11001.688266
30.981274,40,11020.7614
2.835917,4,11022.661453
29.956014,40,11041.615369
28.508444,40,11060.634617
31.942056,40,11079.583324
1.720977,3,11081.030345
31.083132,40,11099.986158
30.921092,40,11118.88478
29.497008,40,11137.80162
29.565774,40,11156.7174
30.969779,40,11175.882462
31.097354,40,11194.83702
31.689396,40,11213.947031
29.735248,40,11233.225779
1.117599,2,11234.201827
5.468655,8,11237.963605
29.807197,40,11256.90564
30.865354,40,11275.914197
30.578933,40,11294.804677
28.880487,40,11313.733752
28.723313,40,11332.861604
31.726887,40,11351.806173
31.83804,40,11370.778825
30.232293,40,11389.862918
32.328349,40,11408.838667
29.991113,40,11427.960773
30.905318,40,11446.984378
6.044711,8,11450.786575
30.451576,40,11469.721882
30.400571,40,11488.779939
5.219137,7,11492.132941
31.393347,40,11511.210102
0.912673,2,11512.176544
31.834152,40,11531.104658
29.328171,40,11550.156544
28.919011,40,11569.193549
29.624931,40,11588.276158
22.595464,30,11602.663504
