#{"t_start": 1767570884.1920295, "env_id": "highway-v0"}
r,l,t
25.327074,35,16.872783
31.750845,40,35.046201
14.357394,19,43.515495
5.956335,7,46.638451
10.82975,14,52.913361
8.37805,10,57.313607
4.99612,7,60.400279
28.754829,40,78.224786
26.666667,40,95.910362
28.674884,40,113.712928
8.94839,12,119.075772
4.323879,6,121.752889
29.999174,40,139.829334
7.64593,10,144.314089
7.939962,10,148.785915
29.357682,40,166.651525
7.617522,10,171.258011
7.887321,10,175.765038
29.026304,40,193.826369
11.426314,15,200.666305
11.707477,16,207.860098
7.15227,8,211.456791
2.445015,4,213.275998
32.775798,40,231.797655
4.333333,5,234.108543
12.48955,15,240.952897
28.29073,40,259.43533
12.908914,16,266.554878
8.979454,10,270.975533
3.938842,5,273.259386
31.358158,40,291.343086
37.788088,39,308.897305
6.978403,8,312.501022
5.708573,7,315.616543
20.81016,24,326.380112
3.93839,5,328.63137
11.500342,14,334.823777
30.628103,40,352.804135
6.824547,8,356.476122
6.859276,9,360.606092
9.247587,11,365.626911
27.807023,40,383.710449
17.268763,21,393.294593
6.104565,7,396.430116
27.400598,40,414.542438
4.281723,6,417.301908
34.171256,40,435.346019
28.730346,40,453.344789
21.162827,24,464.234895
12.100758,14,470.509462
4.933333,6,473.231001
8.873158,10,477.707672
5.626974,7,480.836502
4.209876,6,483.595699
30.329563,38,500.782344
8.503179,11,505.888196
29.804559,40,523.954737
10.367617,14,530.268064
17.70815,22,540.811462
27.762458,40,559.09837
13.999707,17,566.814376
2.815631,4,568.613476
7.773273,9,572.886398
30.084149,40,590.736078
31.488306,40,610.673645
6.892209,8,614.409548
28.744974,40,632.753026
10.746503,14,639.049353
30.474694,40,657.432386
2.709672,4,659.320979
27.104015,40,678.460168
7.717345,9,682.536687
29.982156,40,700.878387
17.32546,23,711.375717
28.781963,40,729.768007
6.249502,8,733.437095
3.54987,5,735.729907
4.156833,5,738.029904
8.782111,10,742.567672
23.050208,27,755.210336
4.297206,6,758.094643
29.333333,40,776.705696
5.064101,7,779.984546
30.022405,40,801.805693
1.850815,3,803.551557
12.087916,15,812.131775
8.023312,10,817.774867
1.333333,2,818.923
10.533333,12,825.656575
21.979461,26,840.156962
19.959556,21,851.64778
28.847116,40,873.508969
29.99426,40,895.925736
28.638737,40,918.413724
10.24332,13,925.90732
23.747186,30,942.264985
27.899491,40,964.070234
9.573031,12,976.63069
30.99329,38,998.054601
27.555556,40,1020.052794
29.045768,40,1041.255084
30.286782,40,1061.599336
7.83347,9,1066.526273
3.864826,5,1069.28896
29.398366,40,1091.129442
4.626301,6,1094.465044
5.055341,7,1098.254839
30.000261,40,1119.757272
2.006372,3,1121.388564
3.89705,6,1124.648392
32.172894,40,1146.409255
29.032412,40,1168.178242
2.022536,3,1169.840802
29.333333,40,1191.827967
30.292225,40,1213.922789
3.57721,5,1216.774022
28.077289,40,1238.451991
28.743193,40,1260.515483
5.059268,7,1264.435081
2.666667,4,1266.668401
29.850133,40,1288.881618
9.061718,12,1295.504146
3.540309,5,1298.300031
6.557625,8,1302.738883
29.548163,40,1324.204195
26.729231,40,1345.904188
5.143025,8,1350.206711
29.028346,40,1372.0857
1.939236,3,1373.750261
32.185099,40,1395.244499
27.220503,40,1417.149022
13.770427,19,1426.636432
12.81271,14,1432.959995
29.503476,40,1451.098673
31.623294,40,1469.584818
30.041855,40,1488.744146
30.08508,40,1508.06729
2.848124,4,1509.953292
9.797777,12,1515.579322
3.33645,5,1517.977023
31.176662,40,1541.318446
29.563131,40,1564.248557
28.957474,40,1587.128532
31.870498,40,1609.606601
27.897686,40,1631.739473
28.655021,40,1653.899504
4.928937,7,1657.757201
30.021119,40,1680.263654
31.753182,40,1702.71666
28.294366,40,1725.035488
28.171108,40,1747.024719
1.2,2,1748.140496
32.093537,40,1770.219074
24.561057,34,1788.756816
11.35657,14,1796.550698
3.695161,5,1799.291516
29.799749,40,1821.025244
21.512306,25,1835.045572
29.523283,40,1857.239324
6.081801,7,1861.214779
26.8,40,1883.591318
27.023444,40,1905.905682
29.07293,40,1928.212727
10.95954,13,1935.427042
27.555556,40,1957.32967
29.677587,40,1979.60913
7.601884,9,1984.727959
4.072345,6,1988.178879
10.14155,12,1995.038107
9.181031,11,2001.160036
27.835947,40,2023.178653
5.844814,8,2027.629028
28.345717,40,2049.668638
29.017175,40,2071.703918
28.283927,40,2099.521936
27.206104,40,2121.341038
31.137725,40,2143.398186
29.787837,40,2166.131513
28.570775,40,2188.264548
6.763145,8,2192.712443
1.182677,2,2193.829763
29.690341,40,2215.130124
29.642064,40,2237.141015
29.674959,40,2259.112361
5.552062,8,2263.200133
30.593957,40,2281.893405
29.747146,40,2300.770765
1.998137,3,2302.238433
28.47904,40,2321.102615
31.830061,40,2340.12357
31.586362,40,2360.314378
30.037088,40,2379.077626
29.100271,40,2397.691583
25.375762,32,2415.05697
27.548599,40,2437.797879
30.317948,40,2460.140182
2.674406,4,2462.393083
30.838672,40,2484.741793
28.268829,40,2507.242928
1.978071,3,2508.968428
26.666667,40,2531.135623
1.816368,3,2532.816376
1.761109,3,2534.569136
29.794908,38,2555.708019
29.04005,40,2577.854829
2.938404,4,2580.034833
30.557761,40,2602.043071
28.868186,39,2623.521723
11.759013,16,2632.425826
30.079933,40,2654.634354
29.333333,40,2676.691056
27.528446,40,2699.080948
27.894515,40,2721.284866
27.014389,40,2743.089416
1.968431,3,2744.733682
30.30167,40,2766.889049
29.225261,40,2789.238678
27.670007,40,2811.146519
29.135248,40,2832.866257
9.277181,11,2838.768504
28.444444,40,2860.596843
28.306288,40,2882.471949
27.742859,40,2904.429297
29.635628,40,2926.784512
29.83651,40,2949.011037
26.141013,32,2967.144583
7.411787,9,2972.09533
4.066667,5,2974.951902
26.780524,40,2997.747924
26.179751,34,3017.036358
28.617517,40,3039.012627
15.310409,18,3048.900488
5.320716,7,3052.737307
19.700641,25,3066.464899
7.067995,9,3071.365989
29.089621,40,3093.487963
30.514593,40,3115.731155
26.666667,40,3137.773582
28.612553,40,3160.375976
2.711253,4,3162.630553
29.591282,40,3182.99665
29.36744,40,3205.626497
31.505156,40,3224.346892
32.307695,40,3242.809896
30.338511,40,3262.047277
29.539132,40,3280.613855
7.684119,10,3285.228849
29.794425,40,3304.216949
28.868196,40,3324.87588
30.413399,40,3346.905531
27.599184,40,3368.953929
32.06452,40,3391.11839
30.924951,40,3412.950962
28.871126,40,3434.89766
28.642845,40,3456.626591
30.184086,40,3478.602709
30.44819,40,3500.073592
28.273231,40,3521.677339
27.349242,40,3543.732857
27.483052,40,3565.620994
31.538826,40,3586.79899
28.501705,40,3608.518312
29.718597,40,3630.251759
30.30046,40,3651.94713
27.671563,40,3673.079783
2.087676,4,3675.267106
27.12905,40,3696.962149
27.528519,40,3718.295831
28.599975,40,3740.479598
30.610205,40,3762.27648
30.808287,40,3783.838363
32.43437,40,3805.519815
29.210202,40,3827.433181
1.234196,2,3828.544556
29.494379,40,3850.39633
30.095012,40,3871.788764
3.688534,5,3874.512488
30.151094,40,3896.127826
28.871038,40,3918.298306
28.063115,40,3938.543255
31.648714,40,3957.34815
28.060453,40,3975.473749
31.261231,40,3994.744884
30.346201,37,4011.547571
28.583801,40,4030.338688
28.862758,40,4050.505663
28.510974,40,4072.765176
28.943538,40,4094.303628
30.494849,40,4116.122581
8.253078,10,4121.536246
27.450849,40,4143.156735
29.838284,40,4164.764053
29.126396,40,4186.404339
29.629161,40,4207.727583
30.038963,40,4229.15554
28.764236,40,4250.664147
31.406798,40,4271.986249
30.475868,40,4298.847587
33.473869,40,4320.485031
28.142722,40,4342.058702
29.651946,40,4363.237352
29.681573,40,4384.469161
3.962032,5,4387.083743
30.664325,40,4408.788764
30.553635,40,4430.305963
28.069542,40,4451.760253
32.242971,40,4472.951622
28.623199,40,4494.842161
31.47694,40,4516.446332
27.775364,40,4537.973273
32.773655,40,4559.728181
32.96503,40,4581.257658
27.719369,40,4602.607124
28.07701,40,4624.393076
30.280659,40,4646.19191
30.103807,40,4667.366599
29.775533,40,4688.736535
30.935354,40,4710.143438
29.663636,40,4731.457691
31.241058,40,4752.761598
28.364648,40,4771.981865
28.890413,40,4790.606735
30.39945,40,4809.117564
30.026586,40,4827.395842
30.990296,40,4845.487283
31.449655,40,4864.920315
28.701834,40,4887.882176
