#{"t_start": 1767896040.9978817, "env_id": "highway-v0"}
r,l,t
31.876303,40,20.043454
8.23093,11,25.07378
5.95979,7,28.287299
30.528069,40,47.643858
0.983473,2,48.573783
27.931854,40,67.306964
1.102644,2,68.202651
2.032596,3,69.56896
13.471986,17,77.148225
1.666769,3,78.499682
8.524816,10,82.947843
8.736086,11,87.899189
17.36737,23,98.188229
27.693965,40,116.136836
31.549447,40,133.90619
1.315701,2,134.810602
9.184995,11,139.704779
18.72366,24,150.389503
19.427594,40,168.062706
31.519006,40,185.85009
28.609486,40,203.655115
7.303092,9,207.681325
29.009249,40,225.559449
1.904038,3,226.943606
35.044098,40,245.283639
9.002146,11,250.230996
4.873485,7,253.350941
5.717836,7,256.496981
31.355964,40,274.22744
6.297765,8,277.820839
6.533333,8,281.400156
5.591845,7,284.541531
10.769896,14,290.863038
31.08551,40,308.632987
29.966701,40,326.457265
7.439088,9,330.50578
31.476131,40,348.483199
7.770955,9,352.670362
30.207759,37,369.172577
30.954002,40,386.934675
32.019535,40,404.600744
28.878397,36,420.583988
11.939217,14,426.832709
29.032409,40,444.547906
29.172925,40,462.379517
32.153762,40,480.330603
4.660315,6,483.025533
2.969067,4,484.822174
3.902873,5,487.061111
24.364836,28,499.582314
9.569306,12,504.900192
19.957962,27,516.939336
3.034883,4,518.725681
29.801348,40,536.568951
5.554413,7,539.677531
8.587069,11,544.52529
30.535101,40,562.399819
31.887179,40,580.134467
30.936254,40,598.00458
14.26861,17,605.579781
9.024797,10,609.996588
31.999303,40,627.712607
4.080272,6,630.378794
5.119125,6,633.031832
7.780593,9,637.010902
27.212573,40,654.784926
19.223169,23,665.000592
7.919373,9,669.004259
25.818212,32,683.294764
29.0702,40,700.998358
4.744657,7,704.198316
28.982316,33,718.914939
3.976221,6,721.622092
6.004935,7,724.733234
6.282842,9,728.720859
21.503368,23,739.003605
27.530293,40,756.831843
10.153011,13,762.635265
5.742058,7,765.807018
29.030608,40,783.61969
24.983462,40,801.332478
3.418538,5,803.558343
24.821452,29,816.455371
28.808607,40,834.343305
29.117485,40,852.115829
3.986428,5,854.328956
